2021-11-06,Easy On Me,Adele
2021-10-30,Easy On Me,Adele
2021-10-23,Industry Baby,Lil Nas X & Jack Harlow
2021-10-16,Stay,The Kid LAROI & Justin Bieber
2021-10-09,My Universe,Coldplay x BTS
2021-10-02,Stay,The Kid LAROI & Justin Bieber
2021-09-25,Stay,The Kid LAROI & Justin Bieber
2021-09-18,Way 2 Sexy,Drake Featuring Future & Young Thug
2021-09-11,Butter,BTS
2021-09-04,Stay,The Kid LAROI & Justin Bieber
2021-08-28,Stay,The Kid LAROI & Justin Bieber
2021-08-21,Stay,The Kid LAROI & Justin Bieber
2021-08-14,Stay,The Kid LAROI & Justin Bieber
2021-08-07,Butter,BTS
2021-07-31,Butter,BTS
2021-07-24,Permission To Dance,BTS
2021-07-17,Butter,BTS
2021-07-10,Butter,BTS
2021-07-03,Butter,BTS
2021-06-26,Butter,BTS
2021-06-19,Butter,BTS
2021-06-12,Butter,BTS
2021-06-05,Butter,BTS
2021-05-29,Good 4 U,Olivia Rodrigo
2021-05-22,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
2021-05-15,Save Your Tears,The Weeknd & Ariana Grande
2021-05-08,Save Your Tears,The Weeknd & Ariana Grande
2021-05-01,Rapstar,Polo G
2021-04-24,Rapstar,Polo G
2021-04-17,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak)
2021-04-10,Montero (Call Me By Your Name),Lil Nas X
2021-04-03,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
2021-03-27,Up,Cardi B
2021-03-20,What's Next,Drake
2021-03-13,Drivers License,Olivia Rodrigo
2021-03-06,Drivers License,Olivia Rodrigo
2021-02-27,Drivers License,Olivia Rodrigo
2021-02-20,Drivers License,Olivia Rodrigo
2021-02-13,Drivers License,Olivia Rodrigo
2021-02-06,Drivers License,Olivia Rodrigo
2021-01-30,Drivers License,Olivia Rodrigo
2021-01-23,Drivers License,Olivia Rodrigo
2021-01-16,Mood,24kGoldn Featuring iann dior
2021-01-09,Mood,24kGoldn Featuring iann dior
2021-01-02,All I Want For Christmas Is You,Mariah Carey
2020-12-26,Willow,Taylor Swift
2020-12-19,All I Want For Christmas Is You,Mariah Carey
2020-12-12,Mood,24kGoldn Featuring iann dior
2020-12-05,Life Goes On,BTS
2020-11-28,Mood,24kGoldn Featuring iann dior
2020-11-21,Mood,24kGoldn Featuring iann dior
2020-11-14,Mood,24kGoldn Featuring iann dior
2020-11-07,Positions,Ariana Grande
2020-10-31,Mood,24kGoldn Featuring iann dior
2020-10-24,Mood,24kGoldn Featuring iann dior
2020-10-17,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
2020-10-10,Franchise,Travis Scott Featuring Young Thug & M.I.A.
2020-10-03,Dynamite,BTS
2020-09-26,WAP,Cardi B Featuring Megan Thee Stallion
2020-09-19,WAP,Cardi B Featuring Megan Thee Stallion
2020-09-12,Dynamite,BTS
2020-09-05,Dynamite,BTS
2020-08-29,WAP,Cardi B Featuring Megan Thee Stallion
2020-08-22,WAP,Cardi B Featuring Megan Thee Stallion
2020-08-15,Watermelon Sugar,Harry Styles
2020-08-08,Cardigan,Taylor Swift
2020-08-01,Rockstar,DaBaby Featuring Roddy Ricch
2020-07-25,Rockstar,DaBaby Featuring Roddy Ricch
2020-07-18,Rockstar,DaBaby Featuring Roddy Ricch
2020-07-11,Rockstar,DaBaby Featuring Roddy Ricch
2020-07-04,Rockstar,DaBaby Featuring Roddy Ricch
2020-06-27,Trollz,6ix9ine & Nicki Minaj
2020-06-20,Rockstar,DaBaby Featuring Roddy Ricch
2020-06-13,Rockstar,DaBaby Featuring Roddy Ricch
2020-06-06,Rain On Me,Lady Gaga & Ariana Grande
2020-05-30,Savage,Megan Thee Stallion
2020-05-23,Stuck With U,Ariana Grande & Justin Bieber
2020-05-16,Say So,Doja Cat Featuring Nicki Minaj
2020-05-09,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi"
2020-05-02,Blinding Lights,The Weeknd
2020-04-25,Blinding Lights,The Weeknd
2020-04-18,Toosie Slide,Drake
2020-04-11,Blinding Lights,The Weeknd
2020-04-04,Blinding Lights,The Weeknd
2020-03-28,The Box,Roddy Ricch
2020-03-21,The Box,Roddy Ricch
2020-03-14,The Box,Roddy Ricch
2020-03-07,The Box,Roddy Ricch
2020-02-29,The Box,Roddy Ricch
2020-02-22,The Box,Roddy Ricch
2020-02-15,The Box,Roddy Ricch
2020-02-08,The Box,Roddy Ricch
2020-02-01,The Box,Roddy Ricch
2020-01-25,The Box,Roddy Ricch
2020-01-18,The Box,Roddy Ricch
2020-01-11,Circles,Post Malone
2020-01-04,All I Want For Christmas Is You,Mariah Carey
2019-12-28,All I Want For Christmas Is You,Mariah Carey
2019-12-21,All I Want For Christmas Is You,Mariah Carey
2019-12-14,Heartless,The Weeknd
2019-12-07,Circles,Post Malone
2019-11-30,Circles,Post Malone
2019-11-23,Someone You Loved,Lewis Capaldi
2019-11-16,Someone You Loved,Lewis Capaldi
2019-11-09,Lose You To Love Me,Selena Gomez
2019-11-02,Someone You Loved,Lewis Capaldi
2019-10-26,Truth Hurts,Lizzo
2019-10-19,HIGHEST IN THE ROOM,Travis Scott
2019-10-12,Truth Hurts,Lizzo
2019-10-05,Truth Hurts,Lizzo
2019-09-28,Truth Hurts,Lizzo
2019-09-21,Truth Hurts,Lizzo
2019-09-14,Truth Hurts,Lizzo
2019-09-07,Truth Hurts,Lizzo
2019-08-31,Senorita,Shawn Mendes & Camila Cabello
2019-08-24,Bad Guy,Billie Eilish
2019-08-17,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-08-10,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-08-03,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-07-27,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-07-20,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-07-13,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-07-06,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-06-29,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-06-22,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-06-15,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-06-08,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-06-01,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-05-25,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-05-18,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-05-11,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-05-04,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-04-27,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-04-20,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-04-13,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
2019-04-06,7 Rings,Ariana Grande
2019-03-30,7 Rings,Ariana Grande
2019-03-23,7 Rings,Ariana Grande
2019-03-16,Sucker,Jonas Brothers
2019-03-09,Shallow,Lady Gaga & Bradley Cooper
2019-03-02,7 Rings,Ariana Grande
2019-02-23,7 Rings,Ariana Grande
2019-02-16,7 Rings,Ariana Grande
2019-02-09,7 Rings,Ariana Grande
2019-02-02,7 Rings,Ariana Grande
2019-01-26,Without Me,Halsey
2019-01-19,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
2019-01-12,Without Me,Halsey
2019-01-05,"Thank U, Next",Ariana Grande
2018-12-29,"Thank U, Next",Ariana Grande
2018-12-22,"Thank U, Next",Ariana Grande
2018-12-15,"Thank U, Next",Ariana Grande
2018-12-08,Sicko Mode,Travis Scott
2018-12-01,"Thank U, Next",Ariana Grande
2018-11-24,"Thank U, Next",Ariana Grande
2018-11-17,"Thank U, Next",Ariana Grande
2018-11-10,Girls Like You,Maroon 5 Featuring Cardi B
2018-11-03,Girls Like You,Maroon 5 Featuring Cardi B
2018-10-27,Girls Like You,Maroon 5 Featuring Cardi B
2018-10-20,Girls Like You,Maroon 5 Featuring Cardi B
2018-10-13,Girls Like You,Maroon 5 Featuring Cardi B
2018-10-06,Girls Like You,Maroon 5 Featuring Cardi B
2018-09-29,Girls Like You,Maroon 5 Featuring Cardi B
2018-09-22,In My Feelings,Drake
2018-09-15,In My Feelings,Drake
2018-09-08,In My Feelings,Drake
2018-09-01,In My Feelings,Drake
2018-08-25,In My Feelings,Drake
2018-08-18,In My Feelings,Drake
2018-08-11,In My Feelings,Drake
2018-08-04,In My Feelings,Drake
2018-07-28,In My Feelings,Drake
2018-07-21,In My Feelings,Drake
2018-07-14,Nice For What,Drake
